bucket,name,source,size,ext,reason
tally/raw,AGODA__AGODA AUGUST 2025.xlsx,meet-recording/tallyData/New folder/AGODA/AGODA AUGUST 2025.xlsx,15754,.xlsx,lives under tallyData/ — treated as Tally signal/reference
tally/raw,AGODA__AGODA OCT -802760.07 AMT.  [8.10.25].xlsx,meet-recording/tallyData/New folder/AGODA/AGODA OCT -802760.07 AMT.  [8.10.25].xlsx,25487,.xlsx,lives under tallyData/ — treated as Tally signal/reference
tally/raw,AGODA__AGODA SEPT 2025 -AMT 66570.86.xlsx,meet-recording/tallyData/New folder/AGODA/AGODA SEPT 2025 -AMT 66570.86.xlsx,12118,.xlsx,lives under tallyData/ — treated as Tally signal/reference
tally/raw,AGODA__AGODA SEPT 2025- AMT 845285.71.xlsx,meet-recording/tallyData/New folder/AGODA/AGODA SEPT 2025- AMT 845285.71.xlsx,27169,.xlsx,lives under tallyData/ — treated as Tally signal/reference
tally/raw,AGODA__AGODA SEPT 2025- AMT- 80280.25.xlsx,meet-recording/tallyData/New folder/AGODA/AGODA SEPT 2025- AMT- 80280.25.xlsx,11869,.xlsx,lives under tallyData/ — treated as Tally signal/reference
tally/raw,AGODA__AGODA SEPT 2025-AMT 1876144.81.xlsx,meet-recording/tallyData/New folder/AGODA/AGODA SEPT 2025-AMT 1876144.81.xlsx,44058,.xlsx,lives under tallyData/ — treated as Tally signal/reference
tally/raw,BANK ROOFTOP__TMV - ROOFTOP  Statement Of Account - OCTOBER 2025.xlsx,meet-recording/tallyData/New folder/BANK ROOFTOP/TMV - ROOFTOP  Statement Of Account - OCTOBER 2025.xlsx,19047,.xlsx,lives under tallyData/ — treated as Tally signal/reference
tally/raw,F&B UPI__PTM - AUGUST 2025 (F&B SERVICE).csv,meet-recording/tallyData/New folder/F&B UPI/PTM - AUGUST 2025 (F&B SERVICE).csv,34350,.csv,lives under tallyData/ — treated as Tally signal/reference
tally/raw,F&B UPI__PTM - JULY 2025 (F&B) (1).xlsx,meet-recording/tallyData/New folder/F&B UPI/PTM - JULY 2025 (F&B) (1).xlsx,15987,.xlsx,lives under tallyData/ — treated as Tally signal/reference
tally/raw,F&B UPI__PTM - OCTOBER 2025 (F&B SERVICE).xlsx,meet-recording/tallyData/New folder/F&B UPI/PTM - OCTOBER 2025 (F&B SERVICE).xlsx,17342,.xlsx,lives under tallyData/ — treated as Tally signal/reference
tally/raw,F&B UPI__PTM - SEPTEMBER 2025 (F&B SERVICE).xlsx,meet-recording/tallyData/New folder/F&B UPI/PTM - SEPTEMBER 2025 (F&B SERVICE).xlsx,31061,.xlsx,lives under tallyData/ — treated as Tally signal/reference
tally/raw,GOMMT STATEMENT__gommt april to oct 25.csv,meet-recording/tallyData/New folder/GOMMT STATEMENT/gommt april to oct 25.csv,33126,.csv,lives under tallyData/ — treated as Tally signal/reference
tally/raw,INDIAN BANK__STATEMENT OF ASCCOUNT NOV 2025.xls,meet-recording/tallyData/New folder/INDIAN BANK/STATEMENT OF ASCCOUNT NOV 2025.xls,50688,.xls,lives under tallyData/ — treated as Tally signal/reference
tally/raw,INDIAN BANK__Statement Of Account - AUGUST 2025.xlsx,meet-recording/tallyData/New folder/INDIAN BANK/Statement Of Account - AUGUST 2025.xlsx,19710,.xlsx,lives under tallyData/ — treated as Tally signal/reference
tally/raw,INDIAN BANK__Statement Of Account - JULY 2025.xlsx,meet-recording/tallyData/New folder/INDIAN BANK/Statement Of Account - JULY 2025.xlsx,17788,.xlsx,lives under tallyData/ — treated as Tally signal/reference
